"Name","InstallPath"
"Google Chrome","C:\Program Files\Google\Chrome\Application"
"IntelliJ IDEA Community Edition 2025.1","D:\IntelliJ\IntelliJ IDEA Community Edition 2025.1"
"Legion Zone","C:\Program Files (x86)\Lenovo\LegionZone"
"Microsoft Edge","C:\Program Files (x86)\Microsoft\Edge\Application"
"Microsoft Edge WebView2 Runtime","C:\Program Files (x86)\Microsoft\EdgeWebView\Application"
"PhpStorm 2025.1.3","D:\PhpStorm\PhpStorm 2025.1.3"
"PyCharm 2025.1.3.1","D:\PyCharm\PyCharm 2025.1.3.1"
"迅雷","C:\Program Files (x86)\Thunder Network\Thunder"
"WebStorm 2025.1.3","D:\WebStorm\WebStorm 2025.1.3"
"微信","C:\Program Files\Tencent\Weixin"
"联想电脑管家（原厂驱动和官方服务）","C:\Program Files (x86)\Lenovo\PCManager\5.1.120.7041\"
"百度网盘","C:\Users\ckr-win\AppData\Roaming\baidu\BaiduNetdisk"
"GitHub Desktop","C:\Users\ckr-win\AppData\Local\GitHubDesktop"
"Ollama version 0.5.7","C:\Users\ckr-win\AppData\Local\Programs\Ollama\"
"Microsoft Visual Studio Code (User)","D:\Visual Studio Code\Microsoft VS Code\"
"Trae CN (User)","D:\Trae\Trae CN\"
"Notepad-- 版本 3.0.0","D:\Notepad--\Notepad--\"
"夸克","C:\Users\ckr-win\AppData\Local\Programs\Quark"
